index,mem_percent,mem_free,mem_available,mem_used
1291,15.6,45124349952,46342230016,7634022400
1292,16.0,44857401344,46075179008,7689322496
1293,15.7,45026250752,46244028416,7624318976
1294,15.7,45033091072,46250835968,7498665984
1295,15.6,45093937152,46311682048,7340941312
1296,15.8,44974272512,46192017408,7568433152
1297,15.8,44991762432,46209507328,7615307776
1298,15.6,45082624000,46300422144,7567908864
1299,15.3,45262581760,46480379904,7495778304
1300,16.1,44802367488,46020288512,7739731968
1301,16.1,44824748032,46042669056,7661944832
1302,15.9,44919136256,46137057280,7506178048
1303,15.8,45006323712,46224384000,7427698688
1304,15.7,45052899328,46270930944,7488974848
1305,15.6,45128126464,46346080256,7522095104
1306,15.7,45070307328,46288097280,7688073216
1307,15.3,45244272640,46462062592,7506145280
1308,16.4,44685111296,45903065088,7641309184
1309,16.3,44698198016,45916151808,7524708352
1310,16.2,44773593088,45991546880,7552495616
1311,16.0,44874448896,46092402688,7559798784
1312,15.9,44951158784,46169063424,7483256832
1313,15.8,44969238528,46187200512,7572959232
1314,15.6,45112590336,46330552320,7537766400
1315,15.6,45104144384,46321942528,7584698368
1316,15.9,44957622272,46175461376,7582502912
1317,16.0,44905324544,46123163648,7560482816
1318,15.9,44945973248,46163812352,7584862208
1319,15.8,45016612864,46234537984,7418093568
1320,15.8,45009604608,46227529728,7532929024
1321,16.1,44827521024,46045446144,7706386432
1322,15.7,45053198336,46271123456,7489667072
1323,15.6,45096677376,46314557440,7553699840
1324,16.2,44780126208,45998080000,7693316096
1325,16.1,44835147776,46053101568,7466434560
1326,16.2,44798951424,46016905216,7527845888
1327,16.1,44842323968,46060310528,7592058880
1328,16.0,44904542208,46122586112,7617933312
1329,16.0,44909481984,46127525888,7524741120
1330,16.0,44893339648,46111383552,7649042432
1331,15.7,45039443968,46257405952,7610957824
1332,16.3,44736647168,45954539520,7649439744
1333,16.0,44906098688,46124179456,7419961344
1334,16.0,44870557696,46088638464,7563329536
1335,15.9,44925480960,46143561728,7616565248
1336,15.8,44981731328,46199812096,7593824256
1337,15.6,45097537536,46315618304,7337013248
1338,15.7,45057998848,46275964928,7484207104
1339,15.6,45126795264,46344761344,7523237888
1340,16.3,44741464064,45959352320,7538814976
1341,16.1,44816252928,46034141184,7486255104
1342,16.3,44724736000,45942910976,7515770880
1343,16.2,44752490496,45970673664,7573086208
1344,15.8,45003436032,46221619200,7430299648
1345,15.8,44973932544,46192115712,7567630336
1346,15.8,45015691264,46233706496,7526535168
1347,15.8,44969418752,46187339776,7680876544
1348,16.3,44699508736,45917814784,7517822976
1349,16.1,44827525120,46045831168,7497965568
1350,16.3,44734238720,45952376832,7591583744
1351,16.1,44801937408,46020075520,7563366400
1352,16.2,44750942208,45969018880,7683039232
1353,16.0,44884545536,46102577152,7549710336
1354,16.0,44871163904,46089195520,7670919168
1355,16.0,44890726400,46108590080,7759847424
1356,16.1,44802158592,46020198400,7416066048
1357,16.3,44694310912,45912498176,7631446016
1358,16.2,44777758720,45995945984,7618002944
1359,16.1,44824223744,46042411008,7609692160
1360,16.0,44874129408,46092148736,7612538880
1361,15.7,45024112640,46242131968,7518294016
1362,15.8,44976754688,46194606080,7673876480
